,lst
579,3161
580,3605
581,16956
582,2987
583,1648
584,18283
585,4193
586,15415
587,17175
588,19693
589,9395
590,7310
591,6343
592,15926
593,17197
594,3337
595,17203
596,13363
597,13384
598,685
599,16875
600,17080
601,2191
602,12174
603,3659
604,17574
605,13601
606,4901
607,4760
608,5141
609,3393
610,17600
611,15780
612,17143
613,3928
614,11361
615,368
616,19593
617,16656
618,11761
619,1785
620,4596
621,5095
622,2192
623,3874
624,11533
625,16456
626,13689
627,275
628,15990
629,8351
630,15029
631,7525
632,2484
633,17319
634,11291
635,3015
636,11571
637,4980
638,3855
639,8113
640,12029
641,14438
642,13892
643,7067
644,13439
645,4518
646,2318
647,12499
648,13425
649,16785
650,12207
651,13355
652,13715
653,2665
654,11599
655,10462
656,14987
657,5478
658,19596
659,5047
660,4933
661,18297
662,7391
663,11522
664,5365
665,6443
666,6472
667,9201
668,16790
669,5774
670,5027
671,819
672,13878
673,3906
674,10231
675,6611
676,12674
677,11721
678,2590
679,4647
680,14859
681,4765
682,19409
683,8814
684,16709
685,14613
686,2212
687,4467
688,15103
689,14513
690,1647
691,11385
692,252
693,8478
694,19665
695,12124
696,1898
697,7062
698,17846
699,15438
700,1569
701,7019
702,5804
703,5417
704,2431
705,18488
706,7041
707,18101
708,9852
709,13013
710,10125
711,12601
712,19995
713,1562
714,4105
715,19543
716,13997
717,5372
718,5648
719,17252
720,4488
721,18105
722,11283
723,3301
724,7226
725,7372
726,9237
727,15898
728,16338
729,11368
730,1275
731,11416
732,18056
733,4259
734,4798
735,2741
736,14081
737,11285
738,7350
739,16400
740,18813
741,8921
742,1083
743,3995
744,18173
745,2946
746,13800
747,680
748,7899
749,16476
750,2873
751,2451
752,11880
753,2934
754,16755
755,3171
756,12881
757,13342
758,19133
759,15984
760,6683
761,6032
762,2913
763,8055
764,3236
765,12614
766,6233
767,8438
768,3665
769,19088
770,8720
771,3422
772,5865
773,18100
774,7618
775,1164
776,1041
777,6462
778,430
779,4101
780,3926
781,744
782,12325
783,14969
784,11656
785,3866
786,10668
787,13688
788,14539
789,7761
790,3112
791,12821
792,11739
793,16144
794,4515
795,4422
796,19558
797,19384
798,2681
799,10555
800,5324
801,14727
802,15938
803,11078
804,424
805,2786
806,9564
807,13912
808,5218
809,14943
810,6069
811,10660
812,19161
813,7621
814,6694
815,9826
816,19650
817,13016
818,10169
819,12119
820,2254
821,4701
822,12103
823,9419
824,14698
825,5163
826,968
827,13404
828,5005
829,14964
830,647
831,19383
832,9194
833,12216
834,327
835,4076
836,4010
837,53
838,795
839,16722
840,695
841,17641
842,5249
843,18633
844,19980
845,11769
846,2420
847,2032
848,10738
849,18122
850,13165
851,1112
852,13197
853,7551
854,1443
855,15139
856,10002
857,3823
858,3718
859,6964
860,11954
861,9385
862,11377
863,17051
864,13748
865,16005
866,9129
867,2080
868,2842
869,1261
870,17173
871,15542
872,4950
873,3242
874,5128
875,3703
876,9413
877,1086
878,9193
879,4661
880,2501
881,18012
882,2787
883,10150
884,4688
885,10776
886,15800
887,17103
888,14804
889,9874
890,11235
891,7129
892,4393
893,10420
894,19338
895,15948
896,2907
897,13097
898,8824
899,4635
900,13778
901,9839
902,13170
903,4877
904,14863
905,14487
906,15947
907,10557
908,18022
909,9458
910,2840
911,11429
912,9053
913,9369
914,18121
915,7586
916,5773
917,15062
918,7685
919,18621
920,344
921,16926
922,9207
923,10482
924,12841
925,230
926,16891
927,17436
928,3432
929,12328
930,18735
931,826
932,1824
933,16975
934,1935
935,16203
936,7984
937,8072
938,6534
939,12084
940,10504
941,10072
942,13859
943,7070
944,16293
945,12686
946,4659
947,280
948,16326
949,16475
950,3223
951,1466
952,2013
953,14721
954,8026
955,15822
956,4875
957,6519
958,7584
959,11008
960,18809
961,1878
962,1746
963,4589
964,6577
965,4625
966,10251
967,5416
968,14875
969,5825
970,12451
971,9178
972,16289
973,205
974,8452
975,19025
976,15897
977,9556
978,2953
979,1322
980,6006
981,12187
982,552
983,10398
984,18123
985,16931
986,11258
987,12181
988,11591
989,9169
990,12093
991,14961
992,15210
993,1412
994,17712
995,16945
996,1801
997,19059
998,8496
999,16040
1000,13583
1001,5117
1002,3608
1003,1479
1004,561
1005,8358
1006,5581
1007,19909
1008,4578
1009,4808
1010,4217
1011,5352
1012,6765
1013,5238
1014,4646
1015,9965
1016,5431
1017,4740
1018,14643
1019,356
1020,13173
1021,12299
1022,6345
1023,4525
1024,18642
1025,18250
1026,10765
1027,18805
1028,9793
1029,10397
1030,906
1031,16465
1032,8429
1033,7682
1034,11270
1035,19202
1036,14540
1037,13293
1038,7831
1039,17801
1040,7639
1041,12605
1042,1896
1043,9439
1044,10147
1045,13595
1046,2466
1047,4545
1048,17674
1049,75
1050,7455
1051,3494
1052,4227
1053,1950
1054,9618
1055,5179
1056,11861
1057,14763
1058,4162
1059,16868
1060,2560
1061,8355
1062,12559
1063,11099
1064,18532
1065,16960
1066,7371
1067,10394
1068,13482
1069,11949
1070,11376
1071,11876
1072,6438
1073,19082
1074,15310
1075,12182
1076,12590
1077,1162
1078,16589
1079,6693
1080,12055
1081,2648
1082,15517
1083,3044
1084,3390
1085,18298
1086,1517
1087,18919
1088,11165
1089,18449
1090,3140
1091,2344
1092,834
1093,6780
1094,7866
1095,11874
1096,7527
1097,7819
1098,7076
1099,2545
1100,16914
1101,651
1102,5695
1103,9629
1104,1762
1105,14936
1106,7133
1107,16079
1108,2611
1109,12715
1110,18684
1111,10946
1112,19460
1113,3354
1114,5992
1115,1183
1116,6409
1117,14625
1118,19801
1119,11276
1120,4582
1121,10778
1122,16178
1123,9293
1124,2479
1125,17684
1126,2227
1127,3287
1128,15376
1129,2082
1130,34
1131,13615
1132,17507
1133,15378
1134,19964
1135,14898
1136,12742
1137,5625
1138,13049
1139,442
1140,1967
1141,14409
1142,15994
1143,12132
1144,12772
1145,16078
1146,8450
1147,11563
1148,10855
1149,1499
1150,13498
1151,960
1152,15510
1153,19797
1154,13911
1155,5938
1156,7573
1157,8238
1158,8659
1159,2444
1160,6435
1161,16674
1162,10160
1163,15100
1164,6146
1165,4273
1166,7749
1167,9006
1168,17891
1169,2058
1170,10008
1171,3803
1172,17869
1173,10066
1174,7203
1175,1544
1176,11474
1177,8755
1178,2592
1179,8030
1180,18047
1181,3897
1182,11553
1183,5139
1184,9256
1185,5620
1186,13619
1187,6509
1188,1110
1189,18863
1190,6217
1191,2642
1192,6997
1193,7801
1194,13046
1195,12957
1196,12607
1197,14353
1198,4462
1199,8618
1200,2341
1201,11626
1202,14708
1203,2551
1204,10768
1205,5545
1206,12100
1207,16610
1208,10197
1209,12045
1210,2678
1211,197
1212,17702
1213,18068
1214,5708
1215,4361
1216,10873
1217,863
1218,737
1219,8945
1220,18759
1221,372
1222,9993
1223,17836
1224,4778
1225,7874
1226,14294
1227,14630
1228,14063
1229,6873
1230,15738
1231,13591
1232,16017
1233,2384
1234,12305
1235,19911
1236,4348
1237,17817
1238,1267
1239,9786
1240,10349
1241,4788
1242,9855
1243,13313
1244,17198
1245,13509
1246,2557
1247,15518
1248,12399
1249,7061
1250,16536
1251,7353
1252,12541
1253,5446
1254,6614
1255,19874
1256,7097
1257,14787
1258,19061
1259,13848
1260,12467
1261,18458
1262,10310
1263,8549
1264,3914
1265,8987
1266,13227
1267,13618
1268,5091
1269,14127
1270,15651
1271,15720
1272,10706
1273,9536
1274,15155
1275,2456
1276,19103
1277,7620
1278,19040
1279,5590
1280,1283
1281,9284
1282,10026
1283,19617
1284,1448
1285,6340
1286,7101
1287,15149
1288,5102
1289,1546
1290,1315
1291,2500
1292,100
1293,16344
1294,8975
1295,17728
1296,18030
1297,9736
1298,7388
1299,18821
1300,5205
1301,13857
1302,6748
1303,13999
1304,9753
1305,4295
1306,19838
1307,15568
1308,4172
1309,14718
1310,1280
1311,5656
1312,7114
1313,3924
1314,10808
1315,634
1316,1807
1317,7085
1318,8352
1319,12535
1320,11122
1321,1640
1322,6555
1323,17838
1324,19014
1325,6479
1326,18748
1327,672
1328,1253
1329,12596
1330,9133
1331,15458
1332,2215
1333,19532
1334,9868
1335,5747
1336,16913
1337,12719
1338,17833
1339,4632
1340,4074
1341,5584
1342,16734
1343,3944
1344,11812
1345,6949
1346,18824
1347,4758
1348,14304
1349,8021
1350,17174
1351,2296
1352,13122
1353,11779
1354,6698
1355,8142
1356,8709
1357,11462
1358,14323
1359,4477
1360,16513
1361,12806
1362,8419
1363,14359
1364,14757
1365,12783
1366,6902
1367,1235
1368,2616
1369,12392
1370,1893
1371,19468
1372,14553
1373,13127
1374,17900
1375,9757
1376,12113
1377,4755
1378,6989
1379,19226
1380,15606
1381,1072
1382,5203
1383,14383
1384,8685
1385,2441
1386,6113
1387,4228
1388,16436
1389,4710
1390,6860
1391,1520
1392,5272
1393,13797
1394,17400
1395,10567
1396,14702
1397,13991
1398,12432
1399,19503
1400,19560
1401,9418
1402,14393
1403,86
1404,18239
1405,822
1406,1697
1407,13995
1408,928
1409,6489
1410,16185
1411,11160
1412,3241
1413,3415
1414,17953
1415,19589
1416,12583
1417,11918
1418,6545
1419,18464
1420,7042
1421,18960
1422,12104
1423,10644
1424,12512
1425,2570
1426,14399
1427,16952
1428,18744
1429,14624
1430,14838
1431,5621
1432,5998
1433,11466
1434,3132
1435,14006
1436,4879
1437,1268
1438,4052
1439,5956
1440,17061
1441,5403
1442,3982
1443,17926
1444,10458
1445,7844
1446,7750
1447,9071
1448,6222
1449,14193
1450,3165
1451,18842
1452,6496
1453,16218
1454,10464
1455,4766
1456,18306
1457,19298
1458,11245
1459,11149
1460,13212
1461,1242
1462,1468
1463,3990
1464,9888
1465,18504
1466,7940
1467,15239
1468,4865
1469,7519
1470,13456
1471,11896
1472,16090
1473,11402
1474,9059
1475,4500
1476,9779
1477,19163
1478,19953
1479,7541
1480,1197
1481,4775
1482,14434
1483,15407
1484,6011
1485,12839
1486,11844
1487,12542
1488,7392
1489,13249
1490,2724
1491,10176
1492,13246
1493,8474
1494,5816
1495,9573
1496,9731
1497,12949
1498,16820
1499,12326
1500,9340
1501,10110
1502,2261
1503,411
1504,10282
1505,15811
1506,18348
1507,183
1508,16168
1509,1388
1510,7861
1511,4682
1512,11278
1513,9553
1514,4464
1515,18705
1516,5817
1517,13099
1518,3616
1519,3709
1520,19523
1521,16929
1522,4163
1523,14558
1524,16229
1525,5338
1526,7533
1527,6659
1528,16194
1529,11765
1530,3635
1531,14748
1532,6574
1533,14267
1534,3144
1535,4881
1536,6353
1537,19197
1538,19515
1539,17250
1540,8484
1541,7853
1542,1216
1543,1269
1544,7033
1545,19907
1546,12664
1547,18982
1548,11625
1549,6236
1550,10961
1551,14101
1552,19950
1553,18994
1554,688
1555,9579
1556,10757
1557,8887
1558,13430
1559,10894
1560,17053
1561,11360
1562,18557
1563,703
1564,6098
1565,15879
1566,11800
1567,16713
1568,8855
1569,9013
1570,8108
1571,17686
1572,18493
1573,1838
1574,16881
1575,14239
1576,17396
1577,10416
1578,14546
1579,9483
1580,12564
1581,14808
1582,7124
1583,284
1584,14448
1585,2089
1586,12690
1587,18785
1588,962
1589,14163
1590,5298
1591,7778
1592,3789
1593,1496
1594,18956
1595,6687
1596,10517
1597,15754
1598,19256
1599,3638
1600,5987
1601,1182
1602,11681
1603,14870
1604,12420
1605,14744
1606,11907
1607,2777
1608,13581
1609,1481
1610,8479
1611,9704
1612,1160
1613,8245
1614,3935
1615,14369
1616,17104
1617,12489
1618,11280
1619,4055
1620,7257
1621,4574
1622,13962
1623,579
1624,1364
1625,17831
1626,16542
1627,7225
1628,1619
1629,8166
1630,5783
1631,12613
1632,4109
1633,18622
1634,19260
1635,18308
1636,4610
1637,6173
1638,19689
1639,14148
1640,12887
1641,1294
1642,7930
1643,1052
1644,2805
1645,146
1646,3929
1647,5710
1648,6777
1649,15693
1650,4622
1651,19888
1652,11068
1653,4129
1654,7623
1655,14602
1656,13529
1657,453
1658,6991
1659,10213
1660,10975
1661,12847
1662,1118
1663,15206
1664,9259
1665,13885
1666,12219
1667,5636
1668,807
1669,18456
1670,5856
1671,13229
1672,8389
1673,382
1674,13521
1675,601
1676,825
1677,15526
1678,14508
1679,5753
1680,18182
1681,13009
1682,9397
1683,7825
1684,5321
1685,9685
1686,13257
1687,7001
1688,16702
1689,12705
1690,19108
1691,7624
1692,17271
1693,13517
1694,7308
1695,7566
1696,8207
1697,16021
1698,15545
1699,5775
1700,19316
1701,16903
1702,7796
1703,2443
1704,1566
1705,18191
1706,8863
1707,17413
1708,3551
1709,4869
1710,16699
1711,7154
1712,19365
1713,12678
1714,19710
1715,11076
1716,18484
1717,10283
1718,5208
1719,2025
1720,10246
1721,16192
1722,12764
1723,953
1724,8894
1725,15405
1726,279
1727,9204
1728,18346
1729,6203
1730,10195
1731,6823
1732,12754
1733,3529
1734,2335
1735,2223
1736,9362
1737,4457
1738,13
1739,6984
1740,18688
1741,10118
1742,5441
1743,1925
1744,14966
1745,13964
1746,12217
1747,9976
1748,13625
1749,7501
1750,17343
1751,17418
1752,4192
1753,11574
1754,10594
1755,18033
1756,12304
1757,17081
1758,12447
1759,10499
1760,11323
1761,7550
1762,12004
1763,9844
1764,1960
1765,6023
1766,14713
1767,16420
1768,8930
1769,7555
1770,17819
1771,3053
1772,10638
1773,14360
1774,14831
1775,6123
1776,3960
1777,16011
1778,7221
1779,7077
1780,12777
1781,16760
1782,16115
1783,5962
1784,12376
1785,15080
1786,3288
1787,1245
1788,98
1789,17416
1790,6039
1791,320
1792,7320
1793,12944
1794,9831
1795,4521
1796,6993
1797,8671
1798,5953
1799,3615
1800,2054
1801,6431
1802,19579
1803,8165
1804,17274
1805,16538
1806,11052
1807,18476
1808,14380
1809,16024
1810,17404
1811,13955
1812,13808
1813,388
1814,10850
1815,13861
1816,6888
1817,10321
1818,14172
1819,18016
1820,3411
1821,8885
1822,15488
1823,11707
1824,9094
1825,3440
1826,18886
1827,3830
1828,7516
1829,3653
1830,14829
1831,18548
1832,8393
1833,18143
1834,9972
1835,2966
1836,2023
1837,14922
1838,1593
1839,10185
1840,9809
1841,219
1842,8001
1843,11581
1844,15231
1845,8815
1846,15703
1847,11125
1848,200
1849,7119
1850,6830
1851,10550
1852,8757
1853,16808
1854,19994
1855,15578
1856,204
1857,10413
1858,12985
1859,5185
1860,1789
1861,13931
1862,11929
1863,16855
1864,4049
1865,10157
1866,6583
1867,17219
1868,3147
1869,17024
1870,11809
1871,2695
1872,11045
1873,16719
1874,11519
1875,6089
1876,12643
1877,11369
1878,7955
1879,4577
1880,8316
1881,15666
1882,17064
1883,18044
1884,10163
1885,14315
1886,9664
1887,17962
1888,9342
1889,10796
1890,3378
1891,1505
1892,17617
1893,8848
1894,10104
1895,724
1896,815
1897,10745
1898,14260
1899,17322
1900,328
1901,12168
1902,17742
1903,12987
1904,1318
1905,14657
1906,754
1907,8129
1908,1894
1909,8605
1910,7201
1911,18590
1912,6604
1913,188
1914,4641
1915,15978
1916,11930
1917,249
1918,2769
1919,19627
1920,1881
1921,8369
1922,18922
1923,7241
1924,17189
1925,2530
1926,19401
1927,4335
1928,17123
1929,2106
1930,14671
1931,16007
1932,2422
1933,15955
1934,16867
1935,14066
1936,1154
1937,8000
1938,18619
1939,10592
1940,7542
1941,5585
1942,19448
1943,1943
1944,11916
1945,11427
1946,1119
1947,6561
1948,2055
1949,14958
1950,7016
1951,2536
1952,12915
1953,4169
1954,14984
1955,6636
1956,15837
1957,4706
1958,18989
1959,1282
1960,18434
1961,4483
1962,318
1963,18004
1964,3304
1965,5154
1966,15756
1967,9300
1968,3734
1969,13506
1970,10607
1971,5142
1972,18157
1973,11267
1974,9471
1975,8809
1976,5818
1977,13105
1978,15912
1979,10965
1980,11138
1981,14699
1982,11419
1983,7176
1984,6721
1985,1602
1986,8801
1987,1056
1988,9288
1989,8833
1990,1578
1991,15951
1992,3056
1993,7420
1994,147
1995,7341
1996,8528
1997,3385
1998,12294
1999,9216
2000,12257
2001,15826
2002,11539
2003,13226
2004,16172
2005,8144
2006,13739
2007,5555
2008,9175
2009,13789
2010,8445
2011,16453
2012,10675
2013,2728
2014,2788
2015,8512
2016,9528
2017,3208
2018,16658
2019,11221
2020,11307
2021,17373
2022,13157
2023,16280
2024,4079
2025,1263
2026,18423
2027,2684
2028,15472
2029,2400
2030,14455
2031,10286
2032,7745
2033,2639
2034,1127
2035,7200
2036,1966
2037,17553
2038,10249
2039,3343
2040,14389
2041,9150
2042,5838
2043,19896
2044,9970
2045,8620
2046,4469
2047,11197
2048,1316
2049,4852
2050,13496
2051,5464
2052,8657
2053,9350
2054,8157
2055,11698
2056,1840
2057,13177
2058,17429
2059,7787
2060,7927
2061,15828
2062,4066
2063,3349
2064,9812
2065,9238
2066,14555
2067,10071
2068,1088
2069,2024
2070,8346
2071,10215
2072,8979
2073,135
2074,13553
2075,12710
2076,1913
2077,4711
2078,17265
2079,18757
2080,16595
2081,2725
2082,9064
2083,10623
2084,1384
2085,901
2086,17954
2087,18855
2088,3793
2089,11177
2090,18221
2091,7579
2092,15507
2093,7173
2094,11372
2095,3992
2096,2704
2097,15445
2098,9506
2099,4599
2100,18394
2101,6819
2102,6932
2103,13543
2104,6309
2105,13012
2106,773
2107,11464
2108,5997
2109,1665
2110,13108
2111,10177
2112,18137
2113,1900
2114,10392
2115,11390
2116,2718
2117,14300
2118,3243
2119,3389
2120,1129
2121,15361
2122,1206
2123,19055
2124,16325
2125,6776
2126,16135
2127,4952
2128,14881
2129,10080
2130,1674
2131,11708
2132,1531
2133,5342
2134,5603
2135,7916
2136,19898
2137,8498
2138,16917
2139,16629
2140,7153
2141,2810
2142,2476
2143,14887
2144,12397
2145,12612
2146,14522
2147,11782
2148,2803
2149,15363
2150,3964
2151,17519
2152,7295
2153,15633
2154,8763
2155,12191
2156,2475
2157,9546
2158,2631
2159,1258
2160,11479
2161,16826
2162,13526
2163,16327
2164,11364
2165,3723
2166,12621
2167,6672
2168,18501
2169,11103
2170,7180
2171,14664
2172,5402
2173,7528
2174,4249
2175,5050
2176,14486
2177,2425
2178,13162
2179,3002
2180,7020
2181,18777
2182,2656
2183,17536
2184,10728
2185,6760
2186,19982
2187,12966
2188,10257
2189,2831
2190,2547
2191,842
2192,19569
2193,11086
2194,5019
2195,17494
2196,17194
2197,1320
2198,15850
2199,18835
2200,10630
2201,18790
2202,1861
2203,15832
2204,4929
2205,2182
2206,19280
2207,2799
2208,16767
2209,11450
2210,5963
2211,1831
2212,13141
2213,15872
2214,2347
2215,2619
2216,19406
2217,7002
2218,3278
2219,3747
2220,6390
2221,853
2222,4529
2223,19362
2224,14185
2225,14779
2226,7294
2227,12044
2228,18503
2229,9931
2230,14633
2231,5397
2232,12277
2233,17619
2234,17520
2235,8625
2236,17029
2237,18840
2238,10505
2239,7739
2240,11220
2241,13686
2242,11028
2243,1585
2244,8291
2245,19129
2246,9887
2247,4385
2248,3805
2249,19821
2250,7727
2251,507
2252,18917
2253,218
2254,8606
2255,805
2256,4949
2257,10620
2258,3791
2259,17642
2260,1396
2261,19618
2262,1418
2263,16862
2264,19257
2265,17747
2266,13394
2267,16570
2268,9171
2269,6827
2270,5076
2271,4974
2272,19554
2273,17936
2274,18284
2275,17973
2276,6709
2277,4699
2278,17120
2279,1401
2280,575
2281,9087
2282,10336
2283,10912
2284,8838
2285,17138
2286,4238
2287,4649
2288,12997
2289,13475
2290,18649
2291,1260
2292,19834
2293,17775
2294,10554
2295,14366
2296,4142
2297,4209
2298,14773
2299,5871
2300,584
2301,5339
2302,1408
2303,3940
2304,8121
2305,8732
2306,16004
2307,6801
2308,652
2309,16498
2310,12136
2311,12685
2312,10935
2313,4063
2314,12758
2315,14199
2316,5668
2317,7937
2318,11191
2319,11853
2320,3629
2321,15274
2322,4958
2323,5682
2324,18772
2325,11014
2326,8636
2327,15598
2328,18890
2329,3121
2330,1489
2331,17660
2332,2762
2333,6270
2334,7660
2335,5869
2336,16425
2337,17300
2338,673
2339,9181
2340,1337
2341,3291
2342,9482
2343,7271
2344,8766
2345,9862
2346,12955
2347,1637
2348,13541
2349,19343
2350,11381
2351,16097
2352,12444
2353,19194
2354,12876
2355,7991
2356,18480
2357,3143
2358,13732
2359,714
2360,6211
2361,11392
2362,10986
2363,18592
2364,18668
2365,17382
2366,5810
2367,15387
2368,2945
2369,3105
2370,14168
2371,17855
2372,19759
2373,5642
2374,1460
2375,19006
2376,5786
2377,10496
2378,17301
2379,7108
2380,17072
2381,5618
2382,18682
2383,102
2384,3031
2385,9260
2386,17207
2387,16727
2388,9599
2389,11515
2390,12301
2391,5958
2392,13281
2393,11873
2394,9090
2395,3837
2396,13110
2397,4757
2398,1597
2399,10422
2400,7405
2401,7764
2402,16562
2403,2280
2404,2110
2405,3509
2406,5315
2407,4098
2408,18064
2409,19395
2410,2637
2411,11331
2412,8506
2413,14534
2414,5955
2415,14013
2416,4045
2417,16633
2418,19958
2419,6632
2420,13533
2421,13184
2422,8692
2423,15238
2424,14167
2425,7558
2426,13429
2427,285
2428,15093
2429,11096
2430,17017
2431,19357
2432,7971
2433,5556
2434,2614
2435,861
2436,4814
2437,7945
2438,2319
2439,11811
2440,6407
2441,9720
2442,2768
2443,895
2444,17756
2445,4168
2446,16687
2447,14153
2448,6109
2449,18192
2450,782
2451,12918
2452,5862
2453,16418
2454,6806
2455,6756
2456,2546
2457,7122
2458,5337
2459,15401
2460,3293
2461,4451
2462,4496
2463,4182
2464,2389
2465,18775
2466,7767
2467,19368
2468,12194
2469,12737
2470,17688
2471,3187
2472,151
2473,12569
2474,14059
2475,11002
2476,16995
2477,16670
2478,4336
2479,15520
2480,1793
2481,15694
2482,10642
2483,19464
2484,14054
2485,9508
2486,9195
2487,8902
2488,18167
2489,9367
2490,12520
2491,2351
2492,19095
2493,10696
2494,2042
2495,7562
2496,9107
2497,8999
2498,7630
2499,13083
2500,13606
2501,17239
2502,5198
2503,6919
2504,17
2505,2617
2506,5000
2507,12983
2508,2584
2509,3061
2510,2006
2511,16893
2512,13196
2513,19016
2514,6138
2515,16732
2516,16527
2517,408
2518,964
